id,judul,daerah-asal,overview,karakter-utama,penulis,tema,genre
17,Putri Kemarau,Sumatera Selatan,"Putri Jelitani berkorban dengan menceburkan diri ke laut demi menyelamatkan kerajaan dari musim kemarau yang berkepanjangan, sehingga hujan pun turun dan negeri kembali subur.","['Putri Jelitani', 'Raja']",Yelly Kusnita,"['Pengorbanan', 'Kerajaan']",Sage
18,Legenda Ular Berkepala Tujuh,Bengkulu,"Gajah Merik menggunakan ilmu yang diberikan dalam mimpi untuk mengalahkan ular berkepala tujuh dan menyelamatkan kakaknya serta istrinya, kemudian mengajak ular tersebut tinggal di istana sebagai pengawal khusus.",['Gajah Merik'],Erni Yurnita,"['Keberanian', 'Kemenangan']",Sage
19,Legenda Ular N'Daung,Bengkulu,"Kisah tentang Putri Bungsu yang berani menghadapi ular N'Daung untuk menyelamatkan ibunya, hanya untuk menemukan bahwa ular tersebut adalah seorang pangeran yang terkena sihir.","['Si Bungsu', 'Ular NDaung']",Dian Kristiani,"['Kutukan', 'Usaha', 'Berubah']",Legenda
20,Asal-usul Batang Aren,Bengkulu,Sebuah kisah tentang Putri Sedoro Putih yang meninggal dan menjadi pohon gula aren yang merupakan mimpinya yang menjadi kenyataan.,['Sedoro Putih'],Unknown,"['Asal-usul', 'Mimpi']",Legenda
21,Buaya Perompak,Lampung,"Aminah terjebak di gua Buaya Perompak, namun dengan cerdik dia berhasil memanfaatkan kesempatan saat Buaya Perompak tidur untuk melarikan diri dan kembali ke keluarganya.","['Aminah', 'Buaya Perompak']",Dian Kristiani,"['Kutukan', 'Cerdik']",Mitos
22,Si Bungsu,Lampung,"Tujuh gadis tersesat di hutan dan bertahan di rumah raksasa, dengan Si Bungsu yang menolong burung kenui yang akhirnya menikah dengan anak burung itu yang merupakan siluman burung.",['Si Bungsu'],Chrisna Putri,"['Pertolongan', 'Raksasa', 'Ajaib']",Mitos
23,Sultan Domas,Lampung,Seorang pemuda miskin yang bernama Domas menemukan keberuntungan dan kebijaksanaan melalui mimpi-mimpi yang membawanya menjadi Sultan di sebuah desa yang subur.,['Sultan Domas'],Achmad D.,"['Usaha', 'Hikmah']",Mitos
24,Bujang Katak,Kepulauan Bangka Belitung,"Seorang pemuda yang terlahir seperti katak, Bujang Katak, berhasil membangun jembatan emas untuk melamar putri raja setelah diubah penampilannya oleh Tuhan.",['Bujang Katak'],Dian Kristiani,"['Ajaib', 'Ucapan', 'Berubah']",Mitos
25,Si Penyumpit,Kepulauan Bangka Belitung,"Seorang pemuda ahli menyumpit hewan buruan dan meramu obat-obatan, Si Penyumpit, secara tidak sengaja menyembuhkan jelmaan babi hutan dan mendapatkan hadiah emas dan berlian, sementara kepala desa kikir, Pak Raje, gagal meniru keberuntungannya.","['Si Penyumpit', 'Pak Raje']",Lilis Hu,"['Hukuman', 'Hikmah', 'Ajaib']",Mitos
26,Legenda Pulau Sanua,Kepulauan Riau,"Kisah tentang Baitusen dan Mai Lamah menggambarkan bagaimana kekayaan dan kesombongan dapat membawa malapetaka, serta mengajarkan pentingnya kesederhanaan dan penghormatan terhadap sesama.","['Mai Lamah', 'Baitusen']",Dian Kristiani,"['Asal-usul', 'Sombong', 'Hikmah']",Legenda
27,Putri Pandan Berduri,Kepulauan Riau,"Kisah Putri Pandan Berduri, Jenang Perkasa, dan ketiga putra mereka, yang menjadi cikal bakal pemimpin suku di Pulau Bintan.",['Putri Pandan Berduri'],Ulul Azmi,"['Kecantikan', 'Keberanian', 'Asal-usul']",Legenda
28,Ayam dan Ikan Tongkol,Kepulauan Riau,"Kerajaan ayam dan ikan tongkol bersahabat, tetapi kesalahan yang terjadi saat sebuah pesta mengubahnya menjadi permusuhan yang berujung pada penggunaan bulu ayam untuk menangkap ikan tongkol.","['Ayam', 'Ikan Tongkol']",Nurul Ihsan,"['Salah Paham', 'Persahabatan']",Fabel
29,Murtado Macan Kemayoran,DKI Jakarta,"Murtado, pemuda berilmu bela diri, menolak menjadi alat Belanda dan memimpin melawan kekejian Warsa untuk melindungi penduduk Kemayoran.",['Murtado'],Nita Anggraeni,"['Pahlawan', 'Keberanian', 'Keadilan']",Sage
30,Si Pitung,DKI Jakarta,"Si Pitung, seorang pahlawan rakyat jelata, melawan ketidakadilan tuan tanah dan pemerintah kolonial Belanda meskipun harus berakhir dengan hukuman tembak.",['Si Pitung'],Garjon,"['Perlawanan', 'Keadilan', 'Pahlawan']",Sage
31,Monyet yang Malas,DKI Jakarta,Monyet belajar pentingnya kerja keras dan persediaan makanan dari Tupai saat musim kemarau tiba.,['Monyet'],Nany Johan,"['Kerja Keras', 'Hikmah']",Fabel
32,Lutung Kasarung,Jawa Barat,"Purbasari, putri yang diasingkan karena penyakit misterius, sembuh berkat bantuan Lutung Kasarung yang merupakan cinta sejatinya dalam sosok pangeran yang terkutuk.","['Lutung Kasarung', 'Purbasari', 'Purbalarang']",Lilis Hu,"['Kutukan', 'Saudara', 'Berubah']",Mitos
33,Sangkuriang & Dayang Sumbi,Jawa Barat,"Cerita tentang Dayang Sumbi dan putranya, Sangkuriang, yang tanpa sadar hampir menikahi ibunya sendiri yang akhirnya gagal karena luka yang ada dikepala Sangkuriang.","['Sangkuriang', 'Dayang Sumbi']",D. H. Sunjaya,"['Cinta Terlarang', 'Asal-usul']",Legenda
34,Asal Mula Kota Cianjur,Jawa Barat,"Cerita tentang Pak Kikir yang pelit dan putranya yang baik hati, yang mengajarkan pentingnya berbagi dan bijaksana dalam keputusan, membawa perubahan besar pada sebuah desa hingga menjadi Cianjur, sebuah daerah penghasil beras terkenal.","['Pak Kikir', 'Anak']",Tim S.M.I.L.E,"['Hukuman', 'Kebaikan', 'Asal-usul']",Sage
35,Telaga Warna,Jawa Barat,"Putri yang menolak memakai kalung istimewa pada ulang tahunnya tanpa sengaja menciptakan Telaga Warna, sebuah danau berwarna-warni dari air mata yang dikeluarkannya.",['Putri'],Eem Suhaemi,"['Asal-usul', 'Kerajaan']",Legenda
36,Legenda Gunung Tidar,Jawa Tengah,"Para dewa memindahkan Gunung Mahameru dari ujung timur ke tengah Pulau Jawa, menyebabkan terbentuknya beberapa gunung baru dan menjadikan Pulau Jawa seimbang.",['Dewa'],Eem Suhaemi,"['Kerjasama', 'Asal-usul']",Legenda
37,Timun Mas,Jawa Tengah,"Dengan bantuan bungkusan ajaib dari seorang pertapa, Timun Mas berhasil melarikan diri dari raksasa yang ingin memakannya, sehingga ia dan Mbok Sarni dapat hidup tenang tanpa gangguan.","['Timun Mas', 'Raksasa']",Rahmah Asa,"['Keajaiban', 'Raksasa', 'Ajaib']",Mitos
38,Cindelaras,Jawa Tengah,"Cindelaras, yang tinggal di hutan bersama ibunya, menemukan jati dirinya sebagai putra Raja Raden Putra dari Kerajaan Jenggala melalui ayam jantan ajaib, kemudian bersatu kembali dengan ayah dan ibunya setelah mengungkapkan kebenaran.",['Cindelaras'],"Utami, R. Joko S. Rafael Daniel","['Sabung Ayam', 'Bahagia', 'Ajaib']",Mitos
39,Asal-usul Nama Kali Gajah Wong,DIY,"Ki Kerti Pejok, yang tidak mengikuti instruksi kakak iparnya untuk memandikan gajah di sungai kecil, terbawa banjir bandang bersama gajah Sultan Agung, mengakibatkan kematian mereka dan diberi nama sungai itu sebagai Kali Gajah Wong untuk mengenang kejadian tersebut.","['Ki Sapa Wira', 'Ki Kerti Pejok']",Unknown,"['Musibah', 'Asal-usul']",Legenda
40,Bawang Putih dan Bawang Merah,DIY,"Bawang Putih yang baik hati mendapatkan harta dari seorang nenek sebagai balasan atas kebaikannya, sementara saudara tirinya, Bawang Merah, yang serakah dan malas, mendapat hukuman berupa binatang-binatang mengerikan, yang membuat mereka akhirnya menyadari kesalahannya.","['Bawang Putih', 'Bawang Merah']",MB. Rahimsyah AR,"['Kebaikan', 'Kejahatan', 'Saudara']",Mitos
41,Roro Jonggrang,DIY,"Roro Jonggrang mengelabui Bandung Bondowoso untuk gagal memenuhi syarat membuat seribu candi dalam semalam, namun akhirnya dia dikutuk menjadi patung batu untuk melengkapi jumlah candi, yang kini dikenal sebagai Candi Sewu di Prambanan.","['Roro Jonggrang', 'Bandung Bondowoso']",Tira Ikranegara,"['Kutukan', 'Permintaan']",Legenda
42,Keong Mas,Jawa Timur,"Dewi Galuh yang pendengki menyihir adiknya, Candra Kirana, menjadi Keong Mas untuk merebut Pangeran Inu Kertapati, namun berkat bantuan seorang kakek sakti dan kegigihan pangeran, Candra Kirana kembali ke wujud semula, memaafkan kakaknya, dan menikah dengan Pangeran Inu Kertapati.",['Keong Mas'],Tira Ikranegara,"['Kutukan', 'Keajaiban']",Mitos
43,Calon Arang,Jawa Timur,"Ketika Kerajaan Kahuripan diserang wabah penyakit yang disebarkan oleh penyihir Calon Arang, Empu Bharada berhasil mengalahkannya dengan bantuan muridnya Bahula dan keris Weling Putih, setelah memaksa Calon Arang mengembalikan kesehatan rakyat dan meninggalkan negeri tersebut.","['Calon Arang', 'Empu Bharada']",Pramoedya Ananta Toer,"['Kekuatan', 'Pertarungan']",Mitos
44,Kisah Lembu Sura,Jawa Timur,"Lembu Sura, seorang pemuda berkepala lembu yang memenangkan sayembara Raja Brawijaya, mengutuk Gunung Kelud untuk meletus setiap dua windu setelah tipu daya Raja dan Putri Pusparani menggagalkan upayanya memenuhi mas kawin yang mustahil.",['Lembu Sura'],Nowo Beny Harjito,"['Kutukan', 'Sayembara']",Mitos
45,Terjadinya Selat Bali,Bali,"Manik Angkeran, seorang pemuda yang kecanduan berjudi, akhirnya dihidupkan kembali oleh Naga Besukih setelah tewas akibat keserakahannya, namun dipisahkan dari ayahnya oleh Selat Bali sebagai pelajaran untuk memperbaiki diri.","['Manik Angkeran', 'Naga Besukih']",Nita Anggraeni,"['Perselisihan', 'Asal-usul']",Legenda
46,Kebo Iwa,Bali,"Kebo Iwa, pemuda tangguh Bali, berjuang mempertahankan pulau dari invasi Majapahit, menemui akhir tragis demi tujuan mulia.",['Kebo Iwa'],Nita Anggraeni,"['Kekuatan', 'Pertempuran', 'Pahlawan']",Sage
47,Asal Mula Bukit Catu,Bali,"Seorang petani dan istrinya mengalami keberuntungan melimpah saat panen, tetapi keajaiban sebenarnya terjadi ketika istrinya membuat catu nasi, yang mengubah gundukan tanah menjadi Bukit Catu.","['Suami', 'Istri']",Nita Anggraeni,"['Asal-usul', 'Keajaiban', 'Keinginan']",Legenda
48,Sari Bulan,Nusa Tenggara Barat,"Datu Panda'i menikahi Sari Bulan setelah memimpikannya, namun kebahagiaan mereka terganggu ketika Sari Bulan diserang oleh makhluk jahat hingga membuatnya buta.","['Sari Bulan', 'Datu Panda i']",Oyasujiwo,"['Kutukan', 'Bahagia', 'Mimpi']",Mitos
49,Batu Golog,Nusa Tenggara Barat,"Kisah asal usul Desa Gembong, Batu, Montong Teker yang konon katanya berasal dari pecahan Batu Golog yang terlempar.","['Ibu', 'Amaq Lembain', 'Inaq Lembain']",Dian Kristiani,"['Kekuatan', 'Asal-usul']",Legenda
50,Suri Ikun dan Dua Ekor Burung,Nusa Tenggara Timur,"Suri Ikun, anak bungsu dari tujuh bersaudara yang memiliki sifat baik, ketika dia terjebak di gua dengan banyak hantu dia dibantu oleh dua burung yang kemudian membawanya ke sebuah kerajaan kecil tempat dia menjadi seorang raja yang adil.","['Suri Ikun', 'Burung']",Dian Kristiani,"['Kebaikan', 'Bantuan', 'Hikmah']",Fabel
51,Kisah Si Pondik,Nusa Tenggara Barat,"Pondik, seorang pemuda pemalas dan licik, terus menipu warga desa dengan kecerdikannya hingga akhirnya dihukum, namun ia tetap menemukan cara untuk mengelak dari hukuman dan melarikan diri.",['Si Pondik'],Unknown,"['Cerdik', 'Hukuman']",Legenda
52,Wewe Wula dan Asal-Usul Suku Ni'i,Nusa Tenggara Barat,"Wewe Wula, yang mendengarkan nasihat ibunya, berubah menjadi kelelawar setelah mengungkapkan keinginannya untuk tidak menjadi manusia.",['Wewe Wula'],Unknown,"['Asal-usul', 'Hikmah', 'Ucapan']",Legenda
53,Batu Menangis,Kalimantan Barat,"Darmi, yang terlalu terobsesi dengan penampilannya, belajar sebuah pelajaran yang menyedihkan ketika kesombongannya membuatnya berubah menjadi batu.","['Darmi', 'Ibu']",Lilis Hu,"['Kutukan', 'Durhaka']",Legenda
54,Semangka Emas,Kalimantan Barat,"Dermawan, dengan kebaikan hatinya, menerima hadiah tak terduga dari seekor burung kecil, sementara Muzakir, yang kikir dan tidak mau belajar, malah mendapat hukuman atas ketamakannya.","['Muzakir', 'Dermawan']",Slamet Riyanto,"['Ajaib', 'Saudara', 'Hikmah']",Mitos
55,Asal-usul Sungai Landak,Kalimantan Barat,"Sebuah patung landak emas memberikan keajaiban kepada seorang petani dan pencuri, namun ketika pencuri mencurinya, kebaikan berubah menjadi bencana yang menenggelamkan sebuah desa.","['Suami', 'Istri']",Nita Anggraeni,"['Asal-usul', 'Bencana', 'Mimpi']",Legenda
56,Legenda Bukit Kelam,Kalimantan Barat,"Kisah yang menceritakan perselisihan antara dua pemimpin yang memiliki sifat bertolak belakang, yang satu bijaksana yang satu semena-mena.","['Bujang Beji', 'Temenggung Marubai']",Satrio Adi Wicaksono dan Tania Trestya,"['Asal-usul', 'Hukuman', 'Kerajaan']",Legenda
57,Kutukan Raja Pulau Mintin,Kalimantan Tengah,"Kerajaan kecil di Pulau Mintin dipertaruhkan karena pertarungan antara putra kembar Kerajaan tersebut, yang berakhir dengan kutukan.","['Raja Mintin', 'Naga', 'Buaya']",Unknown,"['Kutukan', 'Saudara', 'Pertarungan']",Mitos
58,Legenda Sumber Garam Sepang,Kalimantan Tengah,Permintaan Tumbai kepada pemuda yang ingin menikahinya untuk mengubah sumber air tawar Sepang menjadi sumber air asin. ,"['Emas', 'Tumbai']",Tenas Effendy,"['Permintaan', 'Asal-usul', 'Pernikahan']",Legenda
59,Sangi sang Pemburu,Kalimantan Tengah,"Seorang pemburu berubah menjadi naga setelah tidak bisa menahan rahasia pertemuannya dengan naga besar, yang kemudian menjadikannya legenda Sungai Sangi.",['Sangi'],Dian Kristiani,"['Pemburu', 'Pantangan', 'Berubah']",Mitos
60,Dohong dan Tingang,Kalimantan Tengah,Putri Intan yang disihir menjadi Burung Tinggang mendapatkan pertolongan seorang pemuda bernama Dohong untuk bisa kembali menjadi manusia. .,"['Putri Intan', 'Dohong']",Lilis Hu,"['Kutukan', 'Pertolongan', 'Berubah']",Mitos
61,Legenda Gunung Batu Bangkai,Kalimantan Selatan,"Legenda Gunung Batu Bangkai, tempat terjadinya peristiwa pengutukan Andung Kuswara menjadi batu, karena durhaka kepada ibunya.","['Andung Kuswara', 'Ibu']",Pahmi Rohliansyah,"['Durhaka', 'Hukuman']",Legenda
62,Lok si Naga,Kalimantan Selatan,"Sepasang suami istri yang menemukan telur naga dan karena itu mengharuskan mereka bertarung melawan naga, si pemilik telur.","['Suami', 'Istri']",Unknown,"['Pertarungan', 'Asal-usul']",Legenda
63,Putri Junjung Buih,Kalimantan Selatan,Seorang Raja yang bertapa untuk mendapatkan seorang anak dan diberikanlah seorang bayi dari buih di sungai yang kemudian dinamai dengan Putri Junjung Buih.,['Raja Patmaraga'],Dian Kristiani,"['Permintaan', 'Kerajaan', 'Usaha']",Mitos
64,Pangeran Biawak,Kalimantan Selatan,"Seorang raja mengadakan sayembara membangun istana dan jembatan dengan imbalan menikahi putrinya, yang akhirnya dimenangkan oleh pemuda yang dikutuk menjadi biawak.",['Pangeran Biawak'],Unknown,"['Kutukan', 'Cinta', 'Berubah']",Mitos
65,Legenda Pesut Mahakam,Kalimantan Timur,Dua kakak beradik ditinggalkan ayah dan ibu tirinya dan akhirnya bertemu kembali namun berubah menjadi ikan pesut setelah memakan bubur ajaib yang mereka temukan di rumah.,"['Kakak', 'Adik']",Yoli Hemdi,"['Asal-usul', 'Hikmah']",Legenda
66,Legenda Danau Lipan,Kalimantan Timur,Legenda Danau Lipan yang terbentuk dari tekad Ratu Aji Bidara untuk melindungi kerajaannya dari serangan Raja China dengan kekuatan mistis sirihnya yang mengubahnya menjadi lipan raksasa.,['Ratu Aji Bidara'],Lilis Hu,"['Pertarungan', 'Ajaib', 'Asal-usul']",Legenda
67,Nyapu dan Moret,Kalimantan Timur,Sebuah cerita tentang sebuah desa yang terganggu oleh serangan perampok memutuskan untuk pindah dan membangun kembali hidup mereka di tempat baru.,"['Nyapu', 'Moret']",Arleen Amidjaja,"['Permintaan', 'Pernikahan', 'Bijaksana']",Legenda
68,Kisah Burung Kekewow,Sulawesi Utara,"Sebuah legenda tentang keluarga miskin yang dibantu oleh burung kekekow yang misterius, yang akhirnya dikorbankan oleh keinginan serakah penduduk desa.","['Burung Kekekow', 'Kakak', 'Bungsu']",Sri Diharti,"['Bantuan', 'Ajaib']",Mitos
69,Sigarlaki dan Limbat,Sulawesi Utara,"Sigarlaki, seorang pemburu yang menuduh pembantunya Limbat mencuri daging buruan, namun pada akhirnya dia menyadari kesalahannya ketika kejadian tak terduga membuatnya mempercayai Limbat.","['Sigarlaki', 'Limbat']",Lilis Hu,"['Hikmah', 'Kepercayaan']",Legenda
70,Abo Mamongkuroit dan Tulap si Raksasa,Sulawesi Utara,Abo Mamongkuroit  bertarung melawan Tulap si Raksasa untuk menyelamatkan Istri dan orang-orang yang dikurung Tulap.,"['Abo Mamongkuroit', 'Tulap']",Dian Kristiani,"['Penyelamatan', 'Raksasa']",Sage
71,Asal-usul Pohon Sagu dan Palem,Sulawesi Tengah ,"Seorang suami yang awalnya bersemangat untuk mengubah hidup keluarganya malah kembali terjebak dalam kemalasan, yang berujung pada hilangnya istri dan anaknya yang berubah menjadi pohon.","['Suami', 'Istri', 'Anak']",Ria Utami,"['Asal-usul', 'Hikmah', 'Berubah']",Legenda
72,Legenda Putri Duyung,Sulawesi Tengah ,"Seorang ibu mengorbankan makanan suaminya untuk anak-anaknya hingga suaminya murka dengan itu, dan dalam keputusasaannya, dia berubah menjadi ikan duyung.","['Ibu', 'Si Bungsu', 'Ayah' ]",Dian Kristiani,"['Ajaib', 'Pengorbanan', 'Berubah']",Legenda
73,Tanduk Alam ,Sulawesi Tengah ,"Sebuah legenda tentang Tanduk Alam, seorang pemuda bijaksana, yang berhasil menyelamatkan Putri Raja Banggai yang diculik oleh orang Tobelo atas perintah Raja Ternate.",['Tanduk Alam'],Shendiane Rimandani,"['Perlawanan', 'Kerajaan', 'Kekuatan']",Mitos
74,La Dana dan Kerbau,Sulawesi Selatan,"La Dana berusaha mendapatkan bagian yang lebih besar dari jatah daging kerbau dengan taktik yang licik, tapi temannya akhirnya menyerah dan menyerahkan kerbau itu padanya.",['La Dana'],Dian Kristiani,"['Persahabatan', 'Licik']",Legenda
75,La Upe,Sulawesi Selatan,"La Upe menyelamatkan dirinya dari perlakuan kasar ibu tirinya dengan bantuan mantra dari seekor ikan raja, dan kemudian berhasil menikahi putri kerajaan.",['La Upe'],Unknown,"['Hewan Ajaib', 'Pernikahan', 'Penyelamatan']",Mitos
76,Putri Tandampalik,Sulawesi Selatan,"Seorang putri terserang penyakit misterius, sembuh setelah menyentuh lidah kerbau putih, dan kemudian menikah dengan putra mahkota dari kerajaan lain setelah bertemu di hutan.",['Putri Tandampalik'],Timbul Sudrajat,"['Penyakit', 'Hewan Ajaib', 'Kesembuhan']",Mitos
77,Kisah Kera dan Ayam,Sulawesi Tenggara,"Persahabatan Kera dan Ayam hampir rusak karena niat buruk Kera, tetapi dengan bantuan Kepiting dan kesetiaan Ayam, persahabatan mereka kembali terjalin.","['Kera', 'Ayam']",Dhita Mutiasari,"['Persahabatan', 'Pengkhianatan', 'Pertolongan']",Fabel
78,Nini dan Putri Ikan,Sulawesi Tenggara,"Nini, seorang ikan kecil yang tersesat, bertemu dengan Putri Kanaya yang terkutuk menjadi setengah manusia-setengah ikan, dan membantu putri itu menemukan cinta sejatinya.","['Nini', 'Putri Ikan']",Unknown,"['Pertolongan', 'Kutukan']",Fabel
79,La Sirimbone,Sulawesi Tenggara,"La Sirimbone, seorang anak laki-laki yang tersesat di hutan dan dibantu oleh raksasa baik hati, memperoleh tiga benda ajaib yang membantunya menyelamatkan orang-orang yang membutuhkan.",['La Sirimbone'],Dian Kristiani,"['Raksasa', 'Benda Ajaib', 'Bantuan']",Mitos
80,Keperkasaan Limonu,Gorontola,"Sebuah kisah dendam dan pertempuran antara Limonu dan gurunya, Hemuto, untuk menguasai kembali wilayah yang direbut.",['Limonu'],Dian Kristiani,"['Kekuatan', 'Pertarungan', 'Dendam']",Mitos
81,"Asal Mula Tapa, Tuladenggi, dan Pathungo",Gorontola,Legenda yang menceritakan asal mula nama-nama daerah di sekitar Kerajaan Bolango.,['Raja Tilahunga'],Nita Anggraeni,"['Kerajaan', 'Asal-usul']",Legenda
82,I Tui Ting,Sulawesi Barat,"I Tui Tuing, yang memiliki kulit seperti ikan terbang, menikahi Siti Rukiah, yang kecantikannya tertutup oleh bedak arang, namun setelah mencuci wajahnya, keduanya menemukan kecantikan asli dan kebahagiaan bersama.","['I Tui Ting', 'Siti Rukiah']",Unknown,"['Cinta', 'Saudara', 'Tulus']",Legenda
83,To Dilaling,Sulawesi Barat,"Seorang pemuda yang dibuang oleh ayahnya, Raja Balanipa, tumbuh menjadi panglima perang yang gagah perkasa dan membebaskan kerajaan-kerajaan kecil dari kediktatoran Raja Lego.",['I Manyambungi'],Dian Kristiani,"['Kerajaan', 'Pertarungan', 'Pahlawan']",Sage
84,Asal Mula Pamboang,Sulawesi Barat,"Mengisahkan tiga pemuda yang bersatu dalam mengembangkan wilayah mereka menjadi Pamboang, setelah bergabung dalam persekutuan Pitu Baqbana Binanga, meskipun janji upah dari Puatta Di tak pernah terlaksana.","['Tiga Pemuda', 'Puatta']",Unknown,"['Janji', 'Asal-usul']",Legenda
85,I Karate Lette,Sulawesi Barat,"Sebuah cerita tentang kemenangan tidak biasa dari I Karake Lette, yang dengan dua butir jeruk nipis berhasil mengalahkan Raja Gowa dan menyelamatkan Kerajaan Balanipa.",['I Karate Lette'],Unknown,"['Sayembara', 'Pertarungan', 'Pahlawan']",Sage
86,Asal Mula Tanjung Menangis,Maluku Utara,"Asal mula Tanjung Menangis berawal dari kisah putra raja yang angkuh, Binaut, dan pelayannya yang setia, Bijak, yang akhirnya terbawa lahar panas saat gunung meletus.","['Binaut', 'Bijak']",Aries Zulkarnain,"['Asal-usul', 'Bencana']",Legenda
